id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g,season
sandc001,Sands,Cole,R,R,MIN,15,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,20230403,20230903,2023
sandn001,Sandlin,Nick,R,R,CLE,61,61,0,61,0,0,0,0,0,0,0,0,0,0,0,0,20230331,20231001,2023
sandp002,Sandoval,Patrick,L,L,ANA,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20230925,2023
sanmr001,Sanmartin,Reiver,L,L,CIN,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20230507,2023
santa003,Santander,Anthony,B,R,BAL,156,0,0,0,0,12,0,0,0,1,0,98,99,49,2,0,20230330,20231010,2023
santc002,Santana,Carlos,B,R,MIL,54,0,0,0,0,52,0,0,0,0,0,0,0,2,1,0,20230729,20231004,2023
santc002,Santana,Carlos,B,R,PIT,94,0,0,0,0,85,0,0,0,0,0,0,0,9,0,0,20230330,20230726,2023
santd003,Santana,Dennis,R,R,NYN,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20230818,2023
santg001,Santos,Gregory,R,R,CHA,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20230916,2023
santt001,Santillan,Tony,R,R,CIN,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20230706,20230718,2023
sauct001,Saucedo,Tayler,L,L,SEA,52,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0,20230419,20230930,2023
sborj002,Sborz,Josh,R,R,TEX,54,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,20230415,20231101,2023
schan001,Schanuel,Nolan,L,R,ANA,29,0,0,0,0,28,0,0,0,0,0,0,0,1,1,0,20230818,20230930,2023
schem001,Scherzer,Max,R,R,NYN,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230728,2023
schem001,Scherzer,Max,R,R,TEX,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,20230803,20231030,2023
schmc002,Schmidt,Clarke,R,R,NYA,33,33,32,1,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20230930,2023
schmc003,Schmitt,Casey,R,R,SFN,90,0,0,0,0,0,19,35,42,0,0,0,0,0,8,4,20230509,20231001,2023
schnd001,Schneider,Davis,R,R,TOR,35,0,0,0,0,0,23,3,0,3,0,0,3,7,3,0,20230804,20231001,2023
schoj001,Schoop,Jonathan,R,R,DET,55,1,0,1,0,0,27,24,1,0,0,0,0,1,17,1,20230330,20230706,2023
schoj002,Scholtens,Jesse,R,R,CHA,26,26,11,15,0,0,0,0,0,0,0,0,0,0,0,0,20230407,20230920,2023
schrj001,Schreiber,John,R,R,BOS,46,46,2,44,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20231001,2023
schwk001,Schwarber,Kyle,L,R,PHI,173,0,0,0,0,0,0,0,0,103,0,0,103,70,0,0,20230330,20231024,2023
scott003,Scott,Tanner,R,L,MIA,75,75,0,75,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20231004,2023
scott004,Scott,Tayler,R,R,BOS,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,20230704,20230715,2023
scott004,Scott,Tayler,R,R,LAN,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20230603,20230616,2023
scott004,Scott,Tayler,R,R,OAK,8,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,20230721,20230818,2023
seabc001,Seabold,Connor,R,R,COL,27,27,13,14,0,0,0,0,0,0,0,0,0,0,0,0,20230403,20231001,2023
seagc001,Seager,Corey,L,R,ALS,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20230711,20230711,2023
seagc001,Seager,Corey,L,R,TEX,136,0,0,0,0,0,0,0,129,0,0,0,0,7,0,0,20230330,20231101,2023
seagc002,Seagle,Chandler,R,R,SDN,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,20230930,20230930,2023
searj001,Sears,JP,R,L,OAK,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,20230404,20231001,2023
seguj002,Segura,Jean,R,R,MIA,85,0,0,0,0,0,0,84,0,0,0,0,0,0,1,0,20230330,20230731,2023
selbc001,Selby,Colin,R,R,PIT,21,21,5,16,0,0,0,0,0,0,0,0,0,0,0,0,20230809,20230929,2023
semim001,Semien,Marcus,R,R,ALS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20230711,20230711,2023
semim001,Semien,Marcus,R,R,TEX,179,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,20230330,20231101,2023
sengk001,Senga,Kodai,L,R,NYN,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,20230402,20230927,2023
senza001,Senzatela,Antonio,R,R,COL,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20230505,20230510,2023
senzn001,Senzel,Nick,R,R,CIN,104,0,0,0,0,0,6,57,0,23,18,18,54,4,18,3,20230413,20231001,2023
servb001,Serven,Brian,R,R,COL,11,0,0,0,10,0,0,0,0,0,0,0,0,1,1,1,20230402,20230614,2023
sevel001,Severino,Luis,R,R,NYA,19,19,18,1,0,0,0,0,0,0,0,0,0,0,0,0,20230521,20230908,2023
sewap001,Sewald,Paul,R,R,ARI,30,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,20230805,20231101,2023
sewap001,Sewald,Paul,R,R,SEA,45,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230728,2023
shawb001,Shaw,Bryan,B,R,CHA,38,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,20230702,20231001,2023
sheee001,Sheehan,Emmet,R,R,LAN,14,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,20230616,20231007,2023
sheeg001,Sheets,Gavin,L,L,CHA,118,0,0,0,0,22,0,0,0,7,0,68,73,11,22,1,20230331,20231001,2023
sherr001,Sherriff,Ryan,L,L,BOS,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20230516,20230603,2023
shewb001,Shewmake,Braden,L,R,ATL,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20230505,20230506,2023
shorz001,Short,Zack,R,R,DET,112,6,0,6,0,0,53,31,33,0,2,2,4,1,18,9,20230429,20231001,2023
shrec001,Shreve,Chasen,L,L,CIN,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20230903,20230908,2023
shrec001,Shreve,Chasen,L,L,DET,47,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230810,2023
shusj001,Shuster,Jared,L,L,ATL,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,20230402,20230916,2023
sianm001,Siani,Michael,L,L,CIN,3,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,20230823,20230826,2023
sianm001,Siani,Michael,L,L,SLN,5,0,0,0,0,0,0,0,0,0,3,0,3,2,0,2,20230922,20230929,2023
